"x","nNx","nDx","nmx","nax","n","nqx","npx","lx","ndx","nLx","Tx","ex","nAx"
0,57694,785,0.0136062675494852,0.0910975491385586,1,0.0134400574512365,0.986559942548763,100000,1344.00574512365,98778.4298842853,7747131.54848968,77.4713154848968,122.435629408907
1,250593,94,0.000375110238514244,1.50134568585988,4,0.00149903595140797,0.998500964048592,98655.9942548764,147.888882209954,394254.453825958,7648353.1186054,77.5254780651846,222.032335292555
5,344649,69,0.000200203685488715,2.5,5,0.00100051765913668,0.998999482340863,98508.1053726664,98.5590989934426,492294.129115848,7254098.66477944,73.639612063763,246.397747483607
10,340010,69,0.000202935207788006,2.5,5,0.00101416151624496,0.998985838483755,98409.546273673,99.8031746618944,491798.22343171,6761804.53566359,68.7108597865017,249.507936654736
15,370613,133,0.000358864907599032,2.5,5,0.00179271618067883,0.998207283819321,98309.7430990111,176.241467171989,491108.111827125,6270006.31223188,63.7780764610192,440.603667929972
20,349912,155,0.000442968517798761,2.5,5,0.00221239253838501,0.997787607461615,98133.5016318391,217.109826775879,490124.733592256,5778898.20040475,58.8881279512991,542.774566939697
25,350983,140,0.000398879717821091,2.5,5,0.00199241175750641,0.998007588242494,97916.3918050632,195.08977028502,489094.234599603,5288773.4668125,54.0131572386945,487.724425712549
30,328103,185,0.000563847328430401,2.5,5,0.00281526818853471,0.997184731811465,97721.3020347782,275.111672960702,487918.730991489,4799679.2322129,49.1159975591067,687.779182401755
35,334638,263,0.000785923893879356,2.5,5,0.00392191365526826,0.996078086344732,97446.1903618175,382.175544633879,486275.512947503,4311760.50122141,44.2476046032364,955.438861584698
40,293398,332,0.00113156872234985,2.5,5,0.00564188316543633,0.994358116834564,97064.0148171836,547.623831166726,483951.014508001,3825484.9882739,39.4119797690118,1369.05957791681
45,343095,686,0.00199944621751993,2.5,5,0.00994750732287347,0.990052492677127,96516.3909860169,960.097506110716,480181.711164808,3341533.9737659,34.6214144522874,2400.24376527679
50,355832,1089,0.00306043301333213,2.5,5,0.0151859759116118,0.984814024088388,95556.2934799061,1451.11557098875,474153.678472059,2861352.26260109,29.944152900853,3627.78892747188
55,326502,1693,0.00518526685900852,2.5,5,0.025594547892645,0.974405452107355,94105.1779089174,2408.57948293567,464504.440837248,2387198.58412904,25.3673457420118,6021.44870733919
60,244926,2074,0.00846786376293248,2.5,5,0.0414615910535722,0.958538408946428,91696.5984259817,3801.8868649417,448978.274967554,1922694.14329179,20.9679985549715,9504.71716235425
65,213766,3424,0.0160175144784484,2.5,5,0.0770040391137339,0.922995960886266,87894.71156104,6768.24780693668,422552.938287858,1473715.86832423,16.7668320670327,16920.6195173417
70,214863,6200,0.0288555963567483,2.5,5,0.134570221780407,0.865429778219593,81126.4637541033,10917.2062196499,378339.303221392,1051162.93003638,12.9570904658495,27293.0155491247
75,157716,8685,0.0550673362246063,2.5,5,0.242018408446819,0.757981591553181,70209.2575344535,16991.9327667212,308566.455755464,672823.626814983,9.58311838698496,42479.8319168031
80,103050,9665,0.0937894226103833,2.5,5,0.379876191412007,0.620123808587993,53217.3247677322,20215.994649902,215546.637213906,364257.171059519,6.84471030156673,50539.986624755
85,57071,12665,0.221916560074293,4.50619818397158,5,1,0,33001.3301178302,33001.3301178302,148710.533845613,148710.533845613,4.50619818397158,148710.533845613
