"x","nNx","nDx","nmx","nax","n","nqx","npx","lx","ndx","nLx","Tx","ex","nAx"
0,57694,785,0.0136062675494852,0.0910975491385586,1,0.0134400574512365,0.986559942548763,56059,753.436180658871,55374.2000088315,4342964.47476783,77.4713154848968,122.435629408907
1,250593,94,0.000375110238514244,1.50134568585988,4,0.00149903595140797,0.998500964048592,55305.5638193411,82.9050284780824,221015.104270294,4287590.274759,77.5254780651846,222.032335292555
5,344649,69,0.000200203685488715,2.5,5,0.00100051765913668,0.998999482340863,55222.658790863,55.2512453047384,275975.165841053,4066575.1704887,73.639612063763,246.397747483607
10,340010,69,0.000202935207788006,2.5,5,0.00101416151624496,0.998985838483755,55167.4075455583,55.9486616837094,275697.166073582,3790600.00464765,68.7108597865017,249.507936654736
15,370613,133,0.000358864907599032,2.5,5,0.00179271618067883,0.998207283819321,55111.4588838746,98.7992040819445,275310.296409168,3514902.83857407,63.7780764610192,440.603667929972
20,349912,155,0.000442968517798761,2.5,5,0.00221239253838501,0.997787607461615,55012.6596797927,121.709597792287,274759.024404483,3239592.5421649,58.8881279512991,542.774566939697
25,350983,140,0.000398879717821091,2.5,5,0.00199241175750641,0.998007588242494,54890.9500820004,109.365374324072,274181.336974192,2964833.51776042,54.0131572386945,487.724425712549
30,328103,185,0.000563847328430401,2.5,5,0.00281526818853471,0.997184731811465,54781.5847076763,154.224852745043,273522.361406519,2690652.18078623,49.1159975591067,687.779182401755
35,334638,263,0.000785923893879356,2.5,5,0.00392191365526826,0.996078086344732,54627.3598549313,214.243788566309,272601.18980324,2417129.81937971,44.2476046032364,955.438861584698
40,293398,332,0.00113156872234985,2.5,5,0.00564188316543633,0.994358116834564,54413.1160663649,306.992443513758,271298.09922304,2144528.62957647,39.4119797690118,1369.05957791681
45,343095,686,0.00199944621751993,2.5,5,0.00994750732287347,0.990052492677127,54106.1236228512,538.221060950607,269185.065461879,1873230.53035343,34.6214144522874,2400.24376527679
50,355832,1089,0.00306043301333213,2.5,5,0.0151859759116118,0.984814024088388,53567.9025619006,813.480877940587,265805.810614651,1604045.46489155,29.944152900853,3627.78892747188
55,326502,1693,0.00518526685900852,2.5,5,0.025594547892645,0.974405452107355,52754.42168396,1350.2255723389,260396.544488953,1338239.6542769,25.3673457420118,6021.44870733919
60,244926,2074,0.00846786376293248,2.5,5,0.0414615910535722,0.958538408946428,51404.1961116211,2131.29975761766,251692.731164061,1077843.10978794,20.9679985549715,9504.71716235425
65,213766,3424,0.0160175144784484,2.5,5,0.0770040391137339,0.922995960886266,49272.8963540034,3794.21203809063,236878.951674791,826150.378623882,16.7668320670327,16920.6195173417
70,214863,6200,0.0288555963567483,2.5,5,0.134570221780407,0.865429778219593,45478.6843159128,6120.07663467353,212093.22999288,589271.426949092,12.9570904658495,27293.0155491247
75,157716,8685,0.0550673362246063,2.5,5,0.242018408446819,0.757981591553181,39358.6076812393,9525.50758969626,172979.269431956,377178.196956211,9.58311838698496,42479.8319168031
80,103050,9665,0.0937894226103833,2.5,5,0.379876191412007,0.620123808587993,29833.100091543,11332.8844407886,120833.289355744,204198.927524256,6.84471030156673,50539.986624755
85,57071,12665,0.221916560074293,4.50619818397158,5,1,0,18500.2156507544,18500.2156507544,83365.6381685122,83365.6381685122,4.50619818397158,148710.533845613
